name,met (ms),iters,Speedup factor
radix_sort_random_4096_int32,0.01047,100,9.41069723018147
radix11_sort_random_4096_int32,0.0069299999999999995,100,14.2178932178932
std_sort_random_65536_int32,2.0606999999999998,100,
aflag_sort_random_65536_int32,1.09311,100,1.88517166616351
aflag_copy_sort_random_65536_int32,0.67096,100,3.07127101466555
radix_sort_random_65536_int32,0.17471,100,11.7949745292198
radix11_sort_random_65536_int32,0.11778000000000001,100,17.4961793173714
std_sort_random_1048576_int32,41.41236,100,
aflag_sort_random_1048576_int32,17.493949999999998,100,2.36723895975466
aflag_copy_sort_random_1048576_int32,7.57277,100,5.46858811240801
radix_sort_random_1048576_int32,3.30366,100,12.5352972158152
radix11_sort_random_1048576_int32,2.0034,100,20.6710392333034
std_sort_random_4096_float32,0.11932999999999999,100,
aflag_sort_random_4096_float32,0.07649,100,1.5600732121846
aflag_copy_sort_random_4096_float32,0.04243,100,2.81239688899364
radix_sort_random_4096_float32,0.022770000000000002,100,5.24066754501537
radix11_sort_random_4096_float32,0.00845,100,14.1218934911243
std_sort_random_65536_float32,2.54836,100,
aflag_sort_random_65536_float32,1.6313499999999999,100,1.562117264842
aflag_copy_sort_random_65536_float32,1.01844,100,2.50221908016182
radix_sort_random_65536_float32,0.34951,100,7.29123630225172
radix11_sort_random_65536_float32,0.14175000000000001,100,17.977848324515
std_sort_random_1048576_float32,51.31443,100,
aflag_sort_random_1048576_float32,25.11786,100,2.04294593568083
aflag_copy_sort_random_1048576_float32,11.636579999999999,100,4.40975183430183
radix_sort_random_1048576_float32,5.8324,100,8.79816713531308
radix11_sort_random_1048576_float32,2.35386,100,21.8001198032168
std_sort_random_4096_uint64,0.09594,100,
aflag_sort_random_4096_uint64,0.06371,100,1.5058860461466
aflag_copy_sort_random_4096_uint64,0.06165,100,1.55620437956204
radix_sort_random_4096_uint64,0.02121,100,4.52333804809052
radix13_sort_random_4096_uint64,0.02552,100,3.75940438871473
radix16_sort_random_4096_uint64,0.07483,100,1.28210610717627
std_sort_random_65536_uint64,2.02257,100,
aflag_sort_random_65536_uint64,0.9721899999999999,100,2.08042666556949
aflag_copy_sort_random_65536_uint64,0.63936,100,3.16342905405405
radix_sort_random_65536_uint64,0.45552,100,4.44013435194942
radix13_sort_random_65536_uint64,336,100,0.00601955357142857
radix16_sort_random_65536_uint64,0.40771,100,4.96080547447941
std_sort_random_1048576_uint64,41.09201,100,
aflag_sort_random_1048576_uint64,22.53241,100,1.82368463914868
aflag_copy_sort_random_1048576_uint64,16.6585,100,2.4667292973557
radix_sort_random_1048576_uint64,9.672699999999999,100,4.24824609467884
radix13_sort_random_1048576_uint64,5.312530000000001,100,7.73492290867063
radix16_sort_random_1048576_uint64,5.86303,100,7.00866446189087
std_sort_random_4096_int64,0.09815,100,
aflag_sort_random_4096_int64,0.06634000000000001,100,1.47949954778414
aflag_copy_sort_random_4096_int64,0.06145,100,1.59723352318959
radix_sort_random_4096_int64,0.021429999999999998,100,4.58002799813346
radix13_sort_random_4096_int64,0.02571,100,3.81758070789576
radix16_sort_random_4096_int64,0.07536999999999999,100,1.30224227146079
std_sort_random_65536_int64,2.02934,100,
aflag_sort_random_65536_int64,1.03125,100,1.96784484848485
aflag_copy_sort_random_65536_int64,0.6451600000000001,100,3.14548329096658
radix_sort_random_65536_int64,0.4388,100,4.62474931631723
radix13_sort_random_65536_int64,0.33281999999999995,100,6.09741001141758
radix16_sort_random_65536_int64,0.40874000000000005,100,4.96486764202182
std_sort_random_1048576_int64,40.93542,100,
aflag_sort_random_1048576_int64,23.229560000000003,100,1.76221245688683
