name,met (ms),iters,Speedup factor
aflag_copy_sort_random_4096_int32,0.03107153,100,3.73156423259492
radix_sort_random_4096_int32,0.012440050000000001,100,9.32033311763216
radix11_sort_random_4096_int32,0.0089939,100,12.891560946864
std_sort_random_65536_int32,2.48393248,100,
aflag_sort_random_65536_int32,1.10871659,100,2.24036737828555
aflag_copy_sort_random_65536_int32,0.81301262,100,3.0552200776416
radix_sort_random_65536_int32,0.18679361,100,13.2977379686596
radix11_sort_random_65536_int32,0.12646025,100,19.642001972952
std_sort_random_1048576_int32,50.00369208,100,
aflag_sort_random_1048576_int32,14.729925060000001,100,3.3947010508416
aflag_copy_sort_random_1048576_int32,8.87204444,100,5.63609576328948
radix_sort_random_1048576_int32,3.18961523,100,15.6770295080388
radix11_sort_random_1048576_int32,2.8953326600000002,100,17.2704479767793
std_sort_random_4096_float32,0.13586451,100,
aflag_sort_random_4096_float32,0.06841618000000001,100,1.98585349255103
aflag_copy_sort_random_4096_float32,0.04649306,100,2.92225355784283
radix_sort_random_4096_float32,0.02078808,100,6.5356930510177
radix11_sort_random_4096_float32,0.01111992,100,12.2181193749595
std_sort_random_65536_float32,2.94890488,100,
aflag_sort_random_65536_float32,1.53809153,100,1.91724928099695
aflag_copy_sort_random_65536_float32,1.13018816,100,2.60921586720569
radix_sort_random_65536_float32,0.32525895,100,9.06632970437862
radix11_sort_random_65536_float32,0.15782134,100,18.6850832720087
std_sort_random_1048576_float32,59.00592335,100,
aflag_sort_random_1048576_float32,22.02090919,100,2.67954074197787
aflag_copy_sort_random_1048576_float32,13.46112495,100,4.3834318134013
radix_sort_random_1048576_float32,5.504395339999999,100,10.7197829562148
radix11_sort_random_1048576_float32,3.24423182,100,18.1879491429191
std_sort_random_4096_uint64,0.11137245999999999,100,
aflag_sort_random_4096_uint64,0.06514698000000001,100,1.70955675919283
aflag_copy_sort_random_4096_uint64,0.05688629,100,1.95780846316397
radix_sort_random_4096_uint64,0.02274769,100,4.89598987853272
radix13_sort_random_4096_uint64,0.024885769999999998,100,4.47534715622623
radix16_sort_random_4096_uint64,0.07564968,100,1.47221323342015
std_sort_random_65536_uint64,2.41508228,100,
aflag_sort_random_65536_uint64,0.93129507,100,2.59325143855857
aflag_copy_sort_random_65536_uint64,0.61473153,100,3.92867806861965
radix_sort_random_65536_uint64,0.36951830999999996,100,6.53575807921399
radix13_sort_random_65536_uint64,0.26380891,100,9.15466532195596
radix16_sort_random_65536_uint64,0.28196162999999996,100,8.56528698603424
std_sort_random_1048576_uint64,48.93848398,100,
aflag_sort_random_1048576_uint64,21.12047401,100,2.31711106279286
